fuzzer,domain,dns_a,dns_aaaa
*original,avans.nl,192.87.130.27,2001:610:1a0:1530:192:87:130:27
addition,avans0.nl,,
addition,avans1.nl,,
addition,avans2.nl,,
addition,avans3.nl,,
addition,avans4.nl,,
addition,avans5.nl,,
addition,avans6.nl,,
addition,avans7.nl,,
addition,avans8.nl,,
addition,avans9.nl,,
addition,avansa.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
addition,avansb.nl,,
addition,avansc.nl,,
addition,avansd.nl,,
addition,avanse.nl,,
addition,avansf.nl,,
addition,avansg.nl,,
addition,avansh.nl,,
addition,avansi.nl,,
addition,avansj.nl,,
addition,avansk.nl,,
addition,avansl.nl,,
addition,avansm.nl,,
addition,avansn.nl,,
addition,avanso.nl,45.152.250.24,2a12:5040:1:303:be24:11ff:fe24:ef6e
addition,avansp.nl,,
addition,avansq.nl,,
addition,avansr.nl,,
addition,avanss.nl,,
addition,avanst.nl,,
addition,avansu.nl,,
addition,avansv.nl,,
addition,avansw.nl,,
addition,avansx.nl,,
addition,avansy.nl,,
addition,avansz.nl,,
bitsquatting,a6ans.nl,,
bitsquatting,afans.nl,,
bitsquatting,arans.nl,,
bitsquatting,atans.nl,,
bitsquatting,avafs.nl,,
bitsquatting,avajs.nl,,
bitsquatting,avals.nl,,
bitsquatting,avan3.nl,,
bitsquatting,avanq.nl,,
bitsquatting,avanr.nl,141.138.169.254,2a03:3c00:a002:250::1103
bitsquatting,avanw.nl,81.169.145.157,2a01:238:20a:202:1157::
bitsquatting,avaos.nl,,
bitsquatting,avcns.nl,,
bitsquatting,avens.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
bitsquatting,avins.nl,,
bitsquatting,avqns.nl,,
bitsquatting,cvans.nl,,
bitsquatting,evans.nl,212.7.205.228,
bitsquatting,awans.nl,213.249.67.10,2a01:448:2001::10
bitsquatting,avanc.nl,77.111.243.53,2a02:2350:5:10f:80ac:eddf:3870:8ce2
bitsquatting,ivans.nl,81.169.145.84,2a01:238:20a:202:1084::
bitsquatting,qvans.nl,,
homoglyph,auams.nl,,
homoglyph,auans.nl,,
homoglyph,auars.nl,,
homoglyph,avams.nl,,
homoglyph,avanns.nl,,
homoglyph,avarns.nl,,
homoglyph,avars.nl,,
hyphenation,a-vans.nl,86.105.244.1,2a01:7c8:e100:1::50a0
hyphenation,av-ans.nl,,
hyphenation,ava-ns.nl,,
hyphenation,avan-s.nl,,
insertion,1avans.nl,,
insertion,2avans.nl,,
insertion,a1vans.nl,185.182.56.12,
insertion,a2vans.nl,,
insertion,abvans.nl,,
insertion,acvans.nl,,
insertion,afvans.nl,,
insertion,agvans.nl,,
insertion,aqvans.nl,,
insertion,asvans.nl,,
insertion,av1ans.nl,,
insertion,av2ans.nl,,
insertion,ava1ns.nl,,
insertion,ava2ns.nl,,
insertion,avabns.nl,,
insertion,avahns.nl,,
insertion,avajns.nl,,
insertion,avamns.nl,,
insertion,avanbs.nl,,
insertion,avanhs.nl,,
insertion,avanjs.nl,,
insertion,avanms.nl,,
insertion,avaqns.nl,,
insertion,avasns.nl,,
insertion,avawns.nl,,
insertion,avayns.nl,,
insertion,avazns.nl,,
insertion,avbans.nl,,
insertion,avcans.nl,,
insertion,avfans.nl,,
insertion,avgans.nl,,
insertion,avqans.nl,,
insertion,avsans.nl,,
insertion,avwans.nl,,
insertion,avyans.nl,,
insertion,avzans.nl,,
insertion,awvans.nl,,
insertion,ayvans.nl,,
insertion,azvans.nl,,
insertion,qavans.nl,,
insertion,savans.nl,,
insertion,wavans.nl,,
insertion,yavans.nl,,
insertion,zavans.nl,,
omission,aans.nl,128.140.120.79,2a01:4f8:c013:b062::1
omission,avns.nl,145.131.10.225,2001:678:76c:3760:301::8
omission,avan.nl,185.224.89.54,
omission,vans.nl,23.204.0.133,
omission,avas.nl,37.97.191.31,
repetition,aavans.nl,,
repetition,avaans.nl,,
repetition,avvans.nl,,
replacement,1vans.nl,,
replacement,2vans.nl,,
replacement,abans.nl,,
replacement,acans.nl,,
replacement,agans.nl,,
replacement,av1ns.nl,,
replacement,av2ns.nl,,
replacement,avabs.nl,,
replacement,avahs.nl,,
replacement,avana.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
replacement,avane.nl,13.248.250.100,2600:9000:a61b:4497:71ce:e3b5:812b:b9be
replacement,avanx.nl,,
replacement,avanz.nl,185.135.240.13,
replacement,avany.nl,5.157.84.69,
replacement,avand.nl,87.236.98.55,
replacement,avsns.nl,,
replacement,avwns.nl,,
replacement,avyns.nl,,
replacement,avzns.nl,,
replacement,svans.nl,213.206.254.53,
replacement,wvans.nl,,
replacement,yvans.nl,,
replacement,zvans.nl,,
subdomain,a.vans.nl,,
subdomain,av.ans.nl,,
subdomain,ava.ns.nl,,
transposition,aavns.nl,,
transposition,avasn.nl,,
transposition,avnas.nl,,
transposition,vaans.nl,,
various,avans-nl.com,,
various,avansnl.com,,
various,avansnl.nl,,
vowel-swap,avons.nl,,
vowel-swap,avuns.nl,,
vowel-swap,ovans.nl,,
vowel-swap,uvans.nl,,
